LocationID,lat,lon,borough
198,40.70652679441957,-73.90170926444726,Queens
199,40.79113290307748,-73.88265824700592,Bronx
200,40.89952906437648,-73.90698710771419,Bronx
201,40.57798249377509,-73.84345281477813,Queens
202,40.76189974995506,-73.94995171169582,Manhattan
203,40.6578534180194,-73.73947255987295,Queens
204,40.540334005296096,-74.20782608356564,Staten Island
205,40.691201446806126,-73.76314612543841,Queens
206,40.63897220516649,-74.10231250352733,Staten Island
207,40.76398558883055,-73.8993525643454,Queens
208,40.82331858387752,-73.82354011891952,Bronx
209,40.7090727427931,-74.00366456329897,Manhattan
210,40.592023464364296,-73.94050716694062,Brooklyn
211,40.72388811004171,-74.00153756565634,Manhattan
212,40.82790214858741,-73.86967965711676,Bronx
213,40.81785855770814,-73.85813498781431,Bronx
214,40.586786633051915,-74.08551235826918,Staten Island
215,40.69442755408876,-73.79096393223053,Queens
216,40.67615403721378,-73.81945963682762,Queens
217,40.703916440465754,-73.9585968450717,Brooklyn
218,40.67208970676732,-73.77303565610492,Queens
219,40.66218488071141,-73.76450578558229,Queens
220,40.88240311320921,-73.91066467564433,Bronx
221,40.61876927873207,-74.07370444530252,Staten Island
222,40.64752703432357,-73.88241292571809,Brooklyn
223,40.77742692053278,-73.90540773409828,Queens
224,40.73182063601676,-73.97659767323343,Manhattan
225,40.688168186954954,-73.93188826440709,Brooklyn
226,40.73769895644442,-73.92467306585047,Queens
227,40.64188631576522,-74.00465205914723,Brooklyn
228,40.65235464953841,-74.01127116962884,Brooklyn
229,40.75672894163307,-73.96514579918421,Manhattan
230,40.75981761719185,-73.9841964890757,Manhattan
231,40.717772736265175,-74.00787970866403,Manhattan
232,40.7147325069394,-73.98302455833488,Manhattan
233,40.74991407790216,-73.97044256869236,Manhattan
234,40.74033744175701,-73.99045782354732,Manhattan
235,40.8525211492635,-73.91597542466435,Bronx
236,40.78043643718997,-73.95701169835739,Manhattan
237,40.76861518381155,-73.96563453538072,Manhattan
238,40.79170493442709,-73.97304890061595,Manhattan
239,40.783961430313774,-73.97863194845081,Manhattan
240,40.894599127507,-73.88197807761944,Bronx
241,40.876512375445536,-73.89562001785477,Bronx
242,40.8467828958098,-73.85067057708342,Bronx
243,40.85710828331443,-73.93283148761297,Manhattan
244,40.84170877111978,-73.94139910573641,Manhattan
245,40.630049391830696,-74.10286011016638,Staten Island
246,40.75330906598335,-74.00401512528649,Manhattan
247,40.828988230484576,-73.92440873264252,Bronx
248,40.83416531682759,-73.87228927297001,Bronx
249,40.73457600733177,-74.00287495910837,Manhattan
